phone,store_id,firstname,lastname,dob,email,status,salary,street,city,country
100-431-20,1349,Robert,Contreras,1975-07-05,nicolegomez@example.org,Active,75780,Lisa Freeway,Buchananshire,Bulgaria
100-580-05,1801,Lisa,Edwards,1988-11-13,jilledwards@example.net,Active,114628,Jennifer Harbors,Aguilarfurt,Slovakia (Slovak Republic)
100-831-88,1974,Bryce,Wade,1969-01-07,gfleming@example.org,Active,113507,Donald Neck,New Cherylmouth,Estonia
100-875-75,906,Ronnie,Olsen,1990-01-13,christine84@example.net,Active,97322,Michele Rapids,Navarroview,Mozambique
101-089-54,1467,Lisa,Hickman,1994-07-23,kyleanderson@example.org,Active,95013,Troy Branch,Lake Charlesburgh,Japan
101-207-32,1971,James,Martinez,1974-10-10,carolwilson@example.com,Off,104010,Teresa Land,West Nicoleland,Botswana
101-263-20,1988,Ronnie,Morales,1996-10-25,hayeszachary@example.com,Active,113818,Christopher Harbors,West Elizabeth,Chile
101-358-38,846,Kelsey,Tyler,1989-06-09,stoutandrew@example.net,Active,100439,Lori Ports,Adrianfurt,Bahamas
101-658-94,1390,Elizabeth,Cruz,1970-06-04,riverastephen@example.com,Active,79360,Rojas Station,Fullerland,Cocos (Keeling) Islands
101-689-71,1299,Leroy,Collins,1988-11-20,gregoryharris@example.net,Active,74528,Butler Point,Higginsland,Uruguay
101-815-71,1328,Jose,Grant,1976-06-22,jason89@example.net,Off,88656,Robert Stravenue,Lake Gary,Cameroon
101-972-19,1826,Sara,Miller,1980-10-03,nicholasbarr@example.org,Active,105395,Meyer Wells,West Candice,Andorra
102-121-92,1228,Ryan,Wheeler,1968-05-20,christina74@example.org,Active,117570,Mitchell Passage,South Joseph,Czech Republic
102-235-01,970,Matthew,Gutierrez,1982-05-14,maryyoung@example.com,Active,75963,Morris Grove,New Richardtown,Italy
102-649-08,1835,Margaret,Faulkner,1995-07-19,ywagner@example.com,Active,95905,Fisher Cape,New Johnbury,Tuvalu
102-832-77,1208,John,Jenkins,1968-09-01,efrank@example.net,Off,95453,Michael Station,South Chelseachester,Suriname
102-894-65,769,Kristina,Johnson,1984-11-21,tracy34@example.com,Active,66385,Cobb Crossing,Williamsmouth,Kenya
102-996-13,1723,Amber,Young,1973-11-25,randy83@example.org,Active,108267,Daniel Curve,Ortegastad,Cambodia
103-197-59,1194,Lori,Mann,1965-04-24,brittany83@example.net,Active,93940,Lorraine Vista,Woodardhaven,Honduras
103-255-83,791,Bruce,Vasquez,1977-02-23,qspencer@example.net,Active,60601,Lawson Locks,Richardhaven,Cayman Islands
103-921-11,973,Joseph,Riley,1999-03-23,richard88@example.com,Off,106016,Thompson Ramp,Susanbury,Belize
